"generation","p_major","VA_major_observed","VA_background","VA_total","mean_composite","VA_major_theory"
0,0.22125,1.00125156445557,1.00125156445557,2.04377010830588,3.18936093897729e-16,0.499999999999998
1,0.555625,0.713860830903914,0.423128343783231,1.01857095976477,1.34707456877209,0.716506379737189
2,0.78125,0.484640587759391,0.398062584301824,0.854806510473441,2.11993638422046,0.495937281787594
3,0.934375,0.169283708815722,0.418196134334984,0.539537032612536,2.89045736857782,0.177942296705389
4,0.991875,0.0232241585637767,0.334368556071819,0.348052156362949,3.56523517624999,0.0233867018527084
5,0.995625,0.0126006552817442,0.309608615713582,0.315178514488438,4.06043435389882,0.0126404494382022
6,0.994375,0.0161599828770918,0.30755064756039,0.325250180644211,4.48210612549666,0.0162316021438092
7,1,0,0.302470410326178,0.302470410326178,4.96488912407297,0
8,1,0,0.300913194696304,0.300913194696304,5.39573938473468,0
9,1,0,0.278021223850143,0.278021223850143,5.8207652902743,0
10,1,0,0.252042965986315,0.252042965986315,6.34676118371056,0
11,1,0,0.243720164624948,0.243720164624948,6.72783160467585,0
12,1,0,0.265589262288877,0.265589262288877,7.09171620587131,0
13,1,0,0.226496422272978,0.226496422272978,7.52967249330454,0
14,1,0,0.238776173079476,0.238776173079476,7.90696843573439,0
15,1,0,0.233042002284931,0.233042002284931,8.32963457678241,0
16,1,0,0.248779296664884,0.248779296664884,8.73455826047632,0
17,1,0,0.196648254053776,0.196648254053776,9.20571727573696,0
18,1,0,0.184360367432366,0.184360367432366,9.60733618352148,0
