"rep","generation","p_major","VA_major","VA_background","VA_major_theory"
1,0,0.09125,1.00125156445558,1.00125156445557,0.500000000000006
1,1,0.31875,1.20319606796847,0.386032758411364,1.30933089634642
1,2,0.5625,1.43949604054872,0.463859932590003,1.4838612424865
1,3,0.768125,1.02990470484331,0.43603582843239,1.07393633057603
1,4,0.930625,0.390904299949664,0.48921158882805,0.389287463963374
1,5,0.995625,0.0261816596365857,0.440968293230567,0.0262643439920111
1,6,1,0,0.397669060510351,0
1,7,1,0,0.395135890558058,0
1,8,1,0,0.376389736265101,0
1,9,1,0,0.362541404734485,0
1,10,1,0,0.330043274561613,0
1,11,1,0,0.315231745603377,0
1,12,1,0,0.327463786160322,0
1,13,1,0,0.287175292890717,0
1,14,1,0,0.262749754498024,0
1,15,1,0,0.249786703183579,0
1,16,1,0,0.239532497545864,0
1,17,1,0,0.228843354333973,0
1,18,1,0,0.228675422397003,0
2,0,0.2225,1.00125156445557,1.00125156445557,0.499999999999999
2,1,0.0275,0.0752051014308003,0.46761603923353,0.0772968676614037
2,2,0.0075,0.0213786507674858,0.393623951713338,0.021514505581849
2,3,0,0,0.390016416081765,0
2,4,0,0,0.364176265341194,0
2,5,0,0,0.352128524658023,0
2,6,0,0,0.340736962723735,0
2,7,0,0,0.322955331350459,0
2,8,0,0,0.330641856191889,0
2,9,0,0,0.347356385375529,0
2,10,0,0,0.363649470158126,0
2,11,0,0,0.311492014586804,0
2,12,0,0,0.326082691234973,0
2,13,0,0,0.307941802917458,0
2,14,0,0,0.30534467675453,0
2,15,0,0,0.309246260970469,0
2,16,0,0,0.311737191103859,0
2,17,0,0,0.283386590186598,0
2,18,0,0,0.252877400102796,0
3,0,0.01625,1.00125156445556,1.00125156445557,0.499999999999994
3,1,0.086875,2.36536017984554,0.431771784754607,2.48117241716349
3,2,0.315,6.89905486148558,0.519311471954708,6.74890040074276
3,3,0.601875,7.74673258002951,0.510061649132811,7.49475857687412
3,4,0.88,3.20838933526644,0.48970571082801,3.30290294203886
3,5,0.990625,0.288088583018869,0.522533574980055,0.290477470432995
3,6,1,0,0.446845392794486,0
3,7,1,0,0.367753155049347,0
3,8,1,0,0.358102266092746,0
3,9,1,0,0.344065892819838,0
3,10,1,0,0.374293264658431,0
3,11,1,0,0.390308857520825,0
3,12,1,0,0.313460485762863,0
3,13,1,0,0.298268087328586,0
3,14,1,0,0.241383830700927,0
3,15,1,0,0.282085718244199,0
3,16,1,0,0.316890648999102,0
3,17,1,0,0.268002802256732,0
3,18,1,0,0.248916487276416,0
4,0,0.34875,1.00125156445557,1.00125156445557,0.5
4,1,0.089375,0.178318165285498,0.41664680005364,0.179169332480273
4,2,0.05,0.10469956301106,0.400419137297619,0.104568688557296
4,3,0.015625,0.0333643755483436,0.473769084867648,0.0338601324995356
4,4,0,0,0.379310526809015,0
4,5,0,0,0.337740205802761,0
4,6,0,0,0.324323148857154,0
4,7,0,0,0.322447286250801,0
4,8,0,0,0.297913405280521,0
4,9,0,0,0.252010501647028,0
4,10,0,0,0.282128380787526,0
4,11,0,0,0.29333976696019,0
4,12,0,0,0.256272257646254,0
4,13,0,0,0.268619664664726,0
4,14,0,0,0.224410076854409,0
4,15,0,0,0.223189337016734,0
4,16,0,0,0.218888673988909,0
4,17,0,0,0.191008182168785,0
4,18,0,0,0.188419986946016,0
5,0,0.88125,1.00125156445558,1.00125156445557,0.500000000000004
5,1,0.65125,1.09071015888189,0.465741736726738,1.08517357222845
5,2,0.43,1.1849675849945,0.490453008576764,1.17106382978724
5,3,0.218125,0.803538951498262,0.552304838848866,0.81485442329228
5,4,0.080625,0.33546599169081,0.497793684775943,0.354160134378503
5,5,0,0,0.447909931402731,0
5,6,0,0,0.375596958461057,0
5,7,0,0,0.360292205133321,0
5,8,0,0,0.415081902560167,0
5,9,0,0,0.36759489023172,0
5,10,0,0,0.367014005663377,0
5,11,0,0,0.338735393853786,0
5,12,0,0,0.328544874780616,0
5,13,0,0,0.30700829603703,0
5,14,0,0,0.317512535067511,0
5,15,0,0,0.313379733258341,0
5,16,0,0,0.2679137926728,0
5,17,0,0,0.231913728148047,0
5,18,0,0,0.231301465547281,0
6,0,0.75125,1.00125156445556,1.00125156445557,0.499999999999997
6,1,0.941875,0.151007327876975,0.427526831605321,0.146480112709972
6,2,0.98,0.0514359619396064,0.41362409276504,0.0524419100494149
6,3,0.9925,0.0197907900431689,0.414368089706289,0.0199165544862413
6,4,0.994375,0.014899601767906,0.387006596450189,0.0149656351641735
6,5,1,0,0.402996911095786,0
6,6,1,0,0.36906482366457,0
6,7,1,0,0.347267975398997,0
6,8,1,0,0.387824482673875,0
6,9,1,0,0.353086894327294,0
6,10,1,0,0.30594455460144,0
6,11,1,0,0.331652949672192,0
6,12,1,0,0.26814162738399,0
6,13,1,0,0.276046573818712,0
6,14,1,0,0.272124871661342,0
6,15,1,0,0.286348092605467,0
6,16,1,0,0.261399928234432,0
6,17,1,0,0.253347116120651,0
6,18,1,0,0.238277207502539,0
7,0,0.89125,1.00125156445557,1.00125156445557,0.5
7,1,1,0,0.374505722823163,0
7,2,1,0,0.329680804198329,0
7,3,1,0,0.374464629892562,0
7,4,1,0,0.354431743822991,0
7,5,1,0,0.350995285373186,0
7,6,1,0,0.326726899322216,0
7,7,1,0,0.316374042230564,0
7,8,1,0,0.283892672830052,0
7,9,1,0,0.27296150930007,0
7,10,1,0,0.276966946288697,0
7,11,1,0,0.277160538961822,0
7,12,1,0,0.222568653286941,0
7,13,1,0,0.202563264448006,0
7,14,1,0,0.208837991742283,0
7,15,1,0,0.173546756244048,0
7,16,1,0,0.178360264930281,0
7,17,1,0,0.159249091909155,0
7,18,1,0,0.151432939104068,0
8,0,0.73,1.00125156445556,1.00125156445557,0.499999999999997
8,1,0.40375,0.64507797354506,0.446298622844674,0.61069492009132
8,2,0.224375,0.450681867682139,0.405039171037396,0.44147858796296
8,3,0.084375,0.197194028685018,0.432310269899348,0.195981378424656
8,4,0.01875,0.04583831006414,0.35948592436491,0.0466728500761032
8,5,0.0075,0.0187639419898921,0.333111219647024,0.0188831811263317
8,6,0,0,0.32507526769986,0
8,7,0,0,0.312916683108819,0
8,8,0,0,0.349988355941542,0
8,9,0,0,0.322526733590414,0
8,10,0,0,0.321457167259255,0
8,11,0,0,0.253767354579156,0
8,12,0,0,0.252395313331791,0
8,13,0,0,0.280973694102137,0
8,14,0,0,0.26192881698895,0
8,15,0,0,0.245542258032592,0
8,16,0,0,0.22210853759824,0
8,17,0,0,0.190014023280666,0
8,18,0,0,0.188137953056543,0
9,0,0.1125,1.00125156445556,1.00125156445557,0.499999999999996
9,1,0.005,0.0248197570907294,0.384406237820641,0.0249139280125194
9,2,0,0,0.318423670981054,0
9,3,0,0,0.301165381480128,0
