"Parameter","Value"
"Founder population size","800"
"Chromosomes","10"
"Segregating sites per chromosome","400"
"Major-effect QTL","1 (isolated to chromosome 1)"
"Background QTL (total)","300"
"Background QTL per chromosome","30"
"SNP markers (genomic prediction panel)","800"
"Selection intensity (top fraction retained)","20%"
"Phase 1 generations (historical fixation)","18"
"Phase 2 generations (post-fixation)","12"
"Heritability, composite phenotype (Arms A, C)","0.35"
"Heritability, sub-trait phenotype (Arm B)","0.50"
"Genomic-selection training fraction per generation","50%"
"Independent replicates","20"
